names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating, 
Roland Park Elementary/Middle School,9/10,7/10,N/A,5/10
Seven Oaks Elementary School,8/10,8/10,N/A,4/10
Lutherville Laboratory,10/10,N/A,N/A,6/10
Gunpowder Elementary School,8/10,7/10,N/A,4/10
Harford Hills Elementary School,7/10,6/10,N/A,4/10
Kingsville Elementary School,9/10,8/10,N/A,6/10
Stoneleigh Elementary School,10/10,8/10,N/A,5/10
Summit Park Elementary School,10/10,7/10,N/A,6/10
Woodbridge Elementary School,7/10,7/10,N/A,6/10
Plum Point Middle School,8/10,7/10,N/A,7/10
Beach Elementary School,9/10,6/10,N/A,6/10
Huntingtown Elementary School,8/10,N/A,N/A,6/10
Mount Harmony Elementary School,9/10,8/10,N/A,6/10
Northern Middle School,9/10,5/10,N/A,6/10
Northern High School,8/10,N/A,10/10,8/10
Patuxent High School,8/10,N/A,7/10,8/10
Windy Hill Elementary School,9/10,8/10,N/A,5/10
Sunderland Elementary School,10/10,8/10,N/A,6/10
Friendship Valley Elementary School,8/10,5/10,N/A,6/10
Runnymede Elementary School,8/10,6/10,N/A,6/10
Eldersburg Elementary School,9/10,8/10,N/A,6/10
Westminster Elementary School,8/10,N/A,N/A,8/10
Westminster West Middle School,9/10,6/10,N/A,4/10
Malcolm Elementary School,8/10,8/10,N/A,5/10
Mt Hope/Nanjemoy Elementary School,7/10,8/10,N/A,5/10
Twin Ridge Elementary School,9/10,6/10,N/A,6/10
Windsor Knolls Middle School,9/10,7/10,N/A,8/10
Glade Elementary School,8/10,8/10,N/A,8/10
Green Valley Elementary School,8/10,N/A,N/A,7/10
Lewistown Elementary School,8/10,8/10,N/A,6/10
Liberty Elementary School,7/10,7/10,N/A,6/10
Middletown High School,8/10,N/A,10/10,6/10
North Frederick Elementary School,8/10,7/10,N/A,6/10
Ballenger Creek Elementary School,7/10,7/10,N/A,7/10
Northern Middle School,8/10,8/10,N/A,6/10
Church Creek Elementary School,8/10,8/10,N/A,5/10
Dublin Elementary School,8/10,8/10,N/A,6/10
Forest Lakes Elementary School,9/10,5/10,N/A,6/10
Havre De Grace Elementary School,7/10,8/10,N/A,5/10
Havre De Grace High School,8/10,N/A,6/10,8/10
Homestead/Wakefield Elementary School,9/10,N/A,N/A,8/10
Jarrettsville Elementary School,9/10,N/A,N/A,6/10
Joppatowne Elementary School,8/10,8/10,N/A,8/10
Youths Benefit Elementary School,10/10,8/10,N/A,6/10
North Harford Elementary School,8/10,7/10,N/A,6/10
Burleigh Manor Middle School,9/10,8/10,N/A,6/10
Atholton Elementary School,9/10,7/10,N/A,8/10
Centennial High School,9/10,N/A,10/10,5/10
Laurel Woods Elementary School,7/10,5/10,N/A,6/10
Gorman Crossing Elementary School,8/10,6/10,N/A,7/10
Rosa M. Parks Middle School,9/10,N/A,N/A,7/10
Rocky Hill Middle School,9/10,N/A,N/A,5/10
Ashburton Elementary School,8/10,7/10,N/A,6/10
Candlewood Elementary School,9/10,N/A,N/A,7/10
Fallsmead Elementary School,10/10,8/10,N/A,7/10
Glen Haven Elementary School,7/10,8/10,N/A,6/10
John H. Poole Middle School,10/10,7/10,N/A,8/10
Kingsview Middle School,9/10,7/10,N/A,6/10
Rock Creek Valley Elementary School,8/10,7/10,N/A,5/10
Thomas S. Wootton High School,9/10,N/A,10/10,5/10
Walter Johnson High School,8/10,N/A,10/10,6/10
Wheaton Woods Elementary School,7/10,8/10,N/A,6/10
Tilden Middle School,9/10,N/A,N/A,7/10
Stone Mill Elementary School,10/10,7/10,N/A,7/10
Ronald A. Mcnair Elementary School,9/10,8/10,N/A,7/10
Dr. Charles R. Drew Elementary School,9/10,8/10,N/A,6/10
Yorktown Elementary School,8/10,7/10,N/A,7/10
Kingsford Elementary School,6/10,7/10,N/A,6/10
Eleanor Roosevelt High School,7/10,N/A,6/10,6/10
Kenilworth Elementary School,7/10,N/A,N/A,5/10
Samuel Ogle Middle School,7/10,7/10,N/A,7/10
Centreville Middle School,10/10,9/10,N/A,4/10
Church Hill Elementary School,8/10,N/A,N/A,6/10
Grasonville Elementary School,8/10,N/A,N/A,4/10
Crisfield Academy And High School,6/10,N/A,5/10,5/10
Leonardtown Elementary School,8/10,7/10,N/A,4/10
Piney Point Elementary School,7/10,5/10,N/A,6/10
Lettie Marshall Dent Elementary School,7/10,N/A,N/A,6/10
Washington County Technical High School,7/10,N/A,8/10,8/10
Boonsboro Middle School,8/10,8/10,N/A,6/10
Clear Spring Middle School,8/10,7/10,N/A,6/10
Old Forge Elementary School,7/10,8/10,N/A,6/10
Smithsburg High School,8/10,N/A,9/10,5/10
Northwestern Elementary School,7/10,N/A,N/A,6/10
Pittsville Elementary & Middle School,7/10,6/10,N/A,6/10
Pocomoke Middle School,7/10,8/10,N/A,4/10
Pocomoke High School,7/10,N/A,5/10,4/10
Snow Hill Middle School,7/10,7/10,N/A,4/10
Stephen Decatur High School,8/10,N/A,7/10,6/10
Shiloh Middle School,9/10,7/10,N/A,6/10
Spark M. Matsunaga Elementary School,9/10,7/10,N/A,7/10
Oakdale Middle School,10/10,9/10,N/A,8/10
Evergreen Elementary School,8/10,6/10,N/A,6/10
Bellows Spring Elementary School,8/10,6/10,N/A,7/10
Matapeake Elementary School,8/10,7/10,N/A,6/10
Tuscarora Elementary School,8/10,8/10,N/A,6/10
Whitehall Elementary School,8/10,N/A,N/A,9/10
Patterson Mill Middle School,9/10,8/10,N/A,8/10
Veterans Elementary School,9/10,8/10,N/A,5/10
Manchester Valley High School,8/10,N/A,9/10,6/10
Chesapeake Math and IT Academy South,8/10,7/10,N/A,7/10
Braddock Middle School,7/10,6/10,N/A,5/10
Westmar Middle School,6/10,6/10,N/A,5/10
Cresaptown Elementary School,7/10,8/10,N/A,5/10
Mount Savage Middle School,7/10,5/10,N/A,5/10
West Side Elementary School,6/10,5/10,N/A,5/10
Westernport Elementary School,6/10,6/10,N/A,5/10
Arundel Middle School,7/10,5/10,N/A,6/10
Belvedere Elementary School,9/10,8/10,N/A,5/10
Cape St. Claire Elementary School,9/10,7/10,N/A,8/10
South River High School,9/10,N/A,8/10,4/10
Edgewater Elementary School,8/10,8/10,N/A,5/10
George T. Cromwell Elementary School,7/10,6/10,N/A,5/10
High Point Elementary School,6/10,5/10,N/A,7/10
Jacobsville Elementary School,7/10,5/10,N/A,5/10
Jessup Elementary School,6/10,7/10,N/A,6/10
Lindale Middle School,6/10,5/10,N/A,5/10
Lothian Elementary School,8/10,8/10,N/A,3/10
Manor View Elementary School,7/10,7/10,N/A,5/10
Marley Elementary School,5/10,5/10,N/A,4/10
Meade Heights Elementary School,6/10,8/10,N/A,6/10
Odenton Elementary School,7/10,7/10,N/A,6/10
Old Mill Middle North,7/10,6/10,N/A,5/10
Old Mill Middle South,8/10,5/10,N/A,5/10
Overlook Elementary School,6/10,6/10,N/A,5/10
Quarterfield Elementary School,7/10,4/10,N/A,7/10
Richard Henry Lee Elementary School,6/10,7/10,N/A,6/10
Severn Elementary School,7/10,6/10,N/A,6/10
Southern High School,7/10,N/A,6/10,4/10
Van Bokkelen Elementary School,5/10,7/10,N/A,5/10
Waugh Chapel Elementary School,9/10,7/10,N/A,7/10
Woodside Elementary School,5/10,5/10,N/A,3/10
Windsor Farm Elementary School,9/10,8/10,N/A,6/10
Baltimore City College,6/10,N/A,8/10,5/10
Hampden Elementary/Middle School,6/10,7/10,N/A,6/10
Western High School,5/10,N/A,6/10,5/10
Baltimore School For The Arts,8/10,N/A,9/10,6/10
Arbutus Middle School,7/10,7/10,N/A,4/10
Catonsville Elementary School,8/10,7/10,N/A,5/10
Church Lane Elementary Technology,6/10,7/10,N/A,5/10
Cockeysville Middle School,8/10,7/10,N/A,5/10
Franklin Elementary School,8/10,7/10,N/A,4/10
Fullerton Elementary School,7/10,5/10,N/A,5/10
Hampton Elementary School,9/10,N/A,N/A,4/10
Hillcrest Elementary School,9/10,8/10,N/A,4/10
Loch Raven High School,5/10,N/A,8/10,4/10
Middleborough Elementary School,7/10,8/10,N/A,3/10
Perry Hall Elementary School,7/10,6/10,N/A,4/10
Pine Grove Middle School,7/10,7/10,N/A,5/10
Red House Run Elementary School,5/10,5/10,N/A,5/10
Cromwell Valley Elementary Technology,9/10,9/10,N/A,5/10
Victory Villa Elementary School,6/10,5/10,N/A,6/10
Wellwood International Elementary School,7/10,N/A,N/A,7/10
Westchester Elementary School,8/10,5/10,N/A,3/10
Hereford Middle School,10/10,7/10,N/A,5/10
Hereford High School,7/10,N/A,10/10,5/10
Ridgely Middle School,9/10,6/10,N/A,4/10
Padonia International Elementary School,6/10,6/10,N/A,3/10
Appeal Elementary School,7/10,7/10,N/A,6/10
Calvert High School,7/10,N/A,7/10,6/10
Windy Hill Middle School,8/10,6/10,N/A,7/10
Plum Point Elementary School,8/10,5/10,N/A,7/10
Colonel Richardson Middle School,7/10,7/10,N/A,5/10
Denton Elementary School,6/10,7/10,N/A,6/10
Greensboro Elementary School,6/10,7/10,N/A,5/10
North Caroline High School,6/10,N/A,5/10,4/10
Ridgely Elementary School,7/10,7/10,N/A,4/10
Lockerman Middle School,8/10,8/10,N/A,5/10
Elmer A. Wolfe Elementary School,7/10,6/10,N/A,5/10
Freedom District Elementary School,9/10,7/10,N/A,5/10
Mechanicsville Elementary School,9/10,N/A,N/A,5/10
Northwest Middle School,8/10,6/10,N/A,5/10
Robert Moton Elementary School,7/10,8/10,N/A,5/10
Sandymount Elementary School,8/10,8/10,N/A,5/10
Sykesville Middle School,9/10,7/10,N/A,8/10
Westminster East Middle School,8/10,7/10,N/A,7/10
Westminster High School,8/10,N/A,10/10,3/10
Winfield Elementary School,8/10,5/10,N/A,5/10
Piney Ridge Elementary School,9/10,7/10,N/A,5/10
Spring Garden Elementary School,8/10,8/10,N/A,5/10
Charlestown Elementary School,6/10,6/10,N/A,5/10
Cherry Hill Middle School,7/10,5/10,N/A,5/10
Rising Sun Middle School,8/10,6/10,N/A,5/10
Bohemia Manor Middle School,7/10,6/10,N/A,4/10
C. Paul Barnhart Elementary School,6/10,7/10,N/A,5/10
John Hanson Middle School,6/10,6/10,N/A,5/10
Milton M. Somers Middle School,8/10,6/10,N/A,6/10
Piccowaxen Middle School,8/10,7/10,N/A,3/10
Dr. Thomas L. Higdon Elementary School,8/10,7/10,N/A,5/10
Berry Elementary School,7/10,7/10,N/A,6/10
North Dorchester High School,6/10,N/A,6/10,3/10
Warwick Elementary School,6/10,5/10,N/A,5/10
Brunswick Elementary School,7/10,8/10,N/A,6/10
Brunswick High School,6/10,N/A,6/10,4/10
Catoctin High School,7/10,N/A,8/10,5/10
Linganore High School,7/10,N/A,8/10,5/10
Middletown Elementary School,9/10,7/10,N/A,6/10
Myersville Elementary School,9/10,N/A,N/A,5/10
Lincoln Elementary School,5/10,7/10,N/A,5/10
Thurmont Elementary School,7/10,5/10,N/A,5/10
Thurmont Middle School,7/10,7/10,N/A,5/10
Valley Elementary School,8/10,7/10,N/A,5/10
Walkersville High School,7/10,N/A,8/10,5/10
Walkersville Middle School,8/10,7/10,N/A,6/10
Yellow Springs Elementary School,8/10,5/10,N/A,4/10
Orchard Grove Elementary School,8/10,6/10,N/A,8/10
New Market Middle School,9/10,8/10,N/A,5/10
Brunswick Middle School,8/10,7/10,N/A,5/10
Ballenger Creek Middle School,9/10,8/10,N/A,5/10
Spring Ridge Elementary School,7/10,7/10,N/A,5/10
Accident Elementary School,6/10,8/10,N/A,5/10
Crellin Elementary School,6/10,4/10,N/A,5/10
Grantsville Elementary School,6/10,5/10,N/A,5/10
Northern Garrett High School,7/10,N/A,6/10,5/10
Southern Garrett High School,6/10,N/A,7/10,5/10
Southern Middle School,6/10,4/10,N/A,5/10
Abingdon Elementary School,8/10,6/10,N/A,7/10
Aberdeen Middle School,6/10,5/10,N/A,5/10
Bakerfield Elementary School,6/10,6/10,N/A,5/10
Bel Air High School,7/10,N/A,7/10,6/10
Havre De Grace Middle School,7/10,5/10,N/A,6/10
G. Lisby Elementary At Hillsdale,5/10,6/10,N/A,6/10
Meadowvale Elementary School,9/10,7/10,N/A,6/10
North Harford High School,7/10,N/A,8/10,5/10
William S. James Elementary School,8/10,N/A,N/A,5/10
Magnolia Middle School,6/10,5/10,N/A,5/10
C. Milton Wright High School,7/10,N/A,9/10,4/10
North Bend Elementary School,8/10,5/10,N/A,5/10
Rockburn Elementary School,9/10,N/A,N/A,7/10
Elkridge Landing Middle School,8/10,5/10,N/A,7/10
Elkridge Elementary School,7/10,5/10,N/A,5/10
Howard High School,7/10,N/A,9/10,6/10
Mount Hebron High School,7/10,N/A,9/10,5/10
Waterloo Elementary School,8/10,6/10,N/A,5/10
Long Reach High School,6/10,N/A,5/10,5/10
Hollifield Station Elementary School,9/10,6/10,N/A,6/10
Rock Hall Elementary School,5/10,N/A,N/A,5/10
Roberto W. Clemente Middle School,8/10,7/10,N/A,5/10
Benjamin Banneker Middle School,6/10,7/10,N/A,5/10
Burtonsville Elementary School,6/10,7/10,N/A,5/10
Cedar Grove Elementary School,9/10,N/A,N/A,6/10
Chevy Chase Elementary School,10/10,8/10,N/A,5/10
Diamond Elementary School,10/10,8/10,N/A,7/10
Earle B. Wood Middle School,8/10,8/10,N/A,6/10
East Silver Spring Elementary School,6/10,6/10,N/A,4/10
Fox Chapel Elementary School,8/10,8/10,N/A,4/10
Garrett Park Elementary School,8/10,6/10,N/A,6/10
Glenallan Elementary School,5/10,6/10,N/A,5/10
Herbert Hoover Middle School,10/10,8/10,N/A,9/10
Highland Elementary School,6/10,8/10,N/A,5/10
Julius West Middle School,9/10,7/10,N/A,6/10
Parkland Middle School,7/10,7/10,N/A,5/10
Ritchie Park Elementary School,9/10,N/A,N/A,5/10
Sherwood Elementary School,7/10,5/10,N/A,6/10
Stonegate Elementary School,8/10,5/10,N/A,5/10
Takoma Park Middle School,10/10,9/10,N/A,6/10
Viers Mill Elementary School,6/10,7/10,N/A,6/10
Beall Elementary School,8/10,6/10,N/A,5/10
Westover Elementary School,9/10,9/10,N/A,9/10
Woodlin Elementary School,8/10,6/10,N/A,4/10
Robert Frost Middle School,10/10,7/10,N/A,7/10
John T. Baker Middle School,8/10,6/10,N/A,6/10
Quince Orchard High School,7/10,N/A,7/10,5/10
Strawberry Knoll Elementary School,6/10,6/10,N/A,4/10
Cabin John Middle School,10/10,7/10,N/A,7/10
Briggs Chaney Middle School,6/10,6/10,N/A,5/10
Judith A. Resnik Elementary School,6/10,7/10,N/A,6/10
John Hanson Montessori,6/10,6/10,N/A,5/10
Ardmore Elementary School,5/10,5/10,N/A,5/10
Baden Elementary School,5/10,7/10,N/A,6/10
Beltsville Academy,6/10,5/10,N/A,6/10
Benjamin Tasker Middle School,6/10,6/10,N/A,5/10
Bond Mill Elementary School,7/10,N/A,N/A,5/10
Charles Carroll Middle School,5/10,7/10,N/A,5/10
Greenbelt Middle School,5/10,5/10,N/A,4/10
Robert Frost Elementary School,5/10,4/10,N/A,5/10
Thomas G. Pullen School,6/10,6/10,N/A,5/10
Tulip Grove Elementary School,6/10,N/A,N/A,6/10
Woodmore Elementary School,6/10,7/10,N/A,6/10
Kenmoor Middle School,6/10,7/10,N/A,5/10
Glenn Dale Elementary School,6/10,6/10,N/A,5/10
James Madison Middle School,6/10,N/A,N/A,5/10
Walker Mill Middle School,5/10,5/10,N/A,5/10
Kent Island High School,7/10,N/A,8/10,3/10
Queen Anne's County High School,7/10,N/A,9/10,4/10
Stevensville Middle School,8/10,7/10,N/A,4/10
Sudlersville Middle School,7/10,7/10,N/A,6/10
Chopticon High School,6/10,N/A,7/10,6/10
Esperanza Middle School,8/10,7/10,N/A,6/10
Leonardtown Middle School,9/10,8/10,N/A,7/10
Margaret Brent Middle School,8/10,6/10,N/A,5/10
Spring Ridge Middle School,7/10,8/10,N/A,5/10
Easton Middle School,6/10,6/10,N/A,3/10
St. Michaels Elementary School,8/10,8/10,N/A,3/10
St. Michaels Middle/High School,7/10,7/10,7/10,5/10
White Marsh Elementary School,7/10,8/10,N/A,4/10
Boonsboro High School,7/10,N/A,7/10,5/10
Cascade Elementary School,7/10,4/10,N/A,5/10
Clear Spring High School,7/10,N/A,9/10,5/10
Hancock Elementary School,7/10,7/10,N/A,5/10
Hancock Middle Senior High School,5/10,6/10,5/10,5/10
North Hagerstown High School,6/10,N/A,5/10,5/10
Sharpsburg Elementary School,7/10,N/A,N/A,5/10
Smithsburg Elementary School,6/10,6/10,N/A,5/10
Williamsport Elementary School,8/10,7/10,N/A,5/10
Bennett Middle School,6/10,6/10,N/A,4/10
Delmar Elementary School,7/10,N/A,N/A,5/10
North Salisbury Elementary School,8/10,8/10,N/A,5/10
Berlin Intermediate School,8/10,7/10,N/A,5/10
Snow Hill High School,9/10,N/A,5/10,4/10
North Bethesda Middle School,10/10,7/10,N/A,8/10
Cesar Chavez Elementary School,5/10,4/10,N/A,6/10
Charles Herbert Flowers High School,5/10,N/A,4/10,5/10
Oakdale High School,8/10,N/A,10/10,8/10
Maya Angelou French Immersion,5/10,5/10,N/A,5/10
Princess Anne Elementary School,5/10,6/10,N/A,4/10
Woodholme Elementary School,6/10,6/10,N/A,5/10
North Point High School,6/10,N/A,9/10,6/10
Lakelands Park Middle School,9/10,7/10,N/A,6/10
Seven Oaks Elementary School,6/10,6/10,N/A,6/10
Theodore G. Davis Middle School,7/10,6/10,N/A,6/10
Barstow Elementary School,7/10,7/10,N/A,4/10
Nantucket Elementary School,8/10,8/10,N/A,6/10
Vansville Elementary School,6/10,7/10,N/A,6/10
Vincent Farm Elementary School,7/10,N/A,N/A,4/10
Accokeek Academy,6/10,6/10,N/A,6/10
Red Pump Elementary School,8/10,N/A,N/A,5/10
Chesapeake Math and IT Elementary Public Charter,5/10,5/10,N/A,5/10
Bel Air Elementary School,6/10,4/10,N/A,4/10
Fort Hill High School,6/10,N/A,5/10,4/10
John Humbird Elementary School,5/10,7/10,N/A,4/10
Northeast Elementary School,7/10,5/10,N/A,4/10
South Penn Elementary School,4/10,5/10,N/A,4/10
Annapolis Middle School,7/10,6/10,N/A,3/10
Arundel High School,6/10,N/A,8/10,5/10
Chesapeake Bay Middle School,7/10,4/10,N/A,6/10
Belle Grove Elementary School,4/10,5/10,N/A,2/10
Broadneck Elementary School,8/10,N/A,N/A,4/10
Brock Bridge Elementary School,5/10,7/10,N/A,5/10
Brooklyn Park Middle School,6/10,5/10,N/A,6/10
Corkran Middle School,5/10,4/10,N/A,5/10
Crofton Elementary School,9/10,8/10,N/A,5/10
Davidsonville Elementary School,10/10,N/A,N/A,4/10
Eastport Elementary School,5/10,7/10,N/A,4/10
George Fox Middle School,5/10,4/10,N/A,5/10
Glen Burnie Park Elementary School,5/10,4/10,N/A,5/10
Glendale Elementary School,6/10,6/10,N/A,4/10
Macarthur Middle School,5/10,5/10,N/A,4/10
Marley Middle School,4/10,5/10,N/A,4/10
North Glen Elementary School,4/10,3/10,N/A,4/10
Park Elementary School,5/10,4/10,N/A,4/10
Rolling Knolls Elementary School,8/10,7/10,N/A,3/10
Severna Park High School,7/10,N/A,9/10,N/A
Solley Elementary School,6/10,5/10,N/A,6/10
South Shore Elementary School,10/10,9/10,N/A,4/10
Traceys Elementary School,7/10,N/A,N/A,4/10
Meade Middle School,5/10,6/10,N/A,4/10
Broadneck High School,7/10,N/A,8/10,5/10
North County High School,5/10,N/A,5/10,3/10
Armistead Gardens Elementary School,4/10,6/10,N/A,5/10
Hamilton Elementary/Middle School,5/10,6/10,N/A,5/10
Hampstead Hill Academy,5/10,5/10,N/A,3/10
Hilton Elementary School,5/10,7/10,N/A,4/10
Liberty Elementary School,5/10,7/10,N/A,4/10
The Mount Washington School,6/10,4/10,N/A,4/10
Rosemont Elementary School,4/10,6/10,N/A,4/10
Thomas Johnson Elementary School,7/10,4/10,N/A,5/10
New Song Academy,3/10,5/10,N/A,4/10
Arbutus Elementary School,5/10,5/10,N/A,4/10
Bear Creek Elementary School,4/10,4/10,N/A,4/10
Bedford Elementary School,4/10,6/10,N/A,4/10
Berkshire Elementary School,5/10,5/10,N/A,3/10
Carney Elementary School,5/10,5/10,N/A,3/10
Catonsville Middle School,8/10,7/10,N/A,4/10
Charlesmont Elementary School,5/10,7/10,N/A,4/10
Chase Elementary School,5/10,5/10,N/A,5/10
Chatsworth School,6/10,5/10,N/A,3/10
Deer Park Middle Magnet School,5/10,5/10,N/A,4/10
Edgemere Elementary School,6/10,4/10,N/A,4/10
Essex Elementary School,5/10,4/10,N/A,4/10
Fort Garrison Elementary School,10/10,N/A,N/A,3/10
Franklin Middle School,6/10,6/10,N/A,4/10
Franklin High School,5/10,N/A,8/10,4/10
Halethorpe Elementary School,5/10,6/10,N/A,3/10
Southwest Academy,4/10,4/10,N/A,3/10
Loch Raven Technical Academy,5/10,7/10,N/A,4/10
Norwood Elementary School,5/10,N/A,N/A,4/10
Orems Elementary School,5/10,N/A,N/A,4/10
Owings Mills Elementary School,4/10,5/10,N/A,4/10
Pot Spring Elementary School,7/10,8/10,N/A,3/10
Relay Elementary School,7/10,6/10,N/A,3/10
Seneca Elementary School,6/10,8/10,N/A,5/10
Sparrows Point High School,5/10,N/A,7/10,6/10
Villa Cresta Elementary School,6/10,4/10,N/A,3/10
Sparrows Point Middle School,5/10,6/10,N/A,4/10
Oliver Beach Elementary School,6/10,4/10,N/A,4/10
Joppa View Elementary School,7/10,5/10,N/A,3/10
Calvert Middle School,7/10,7/10,N/A,5/10
Mutual Elementary School,8/10,N/A,N/A,5/10
Calvert Elementary School,7/10,5/10,N/A,5/10
St Leonard Elementary School,6/10,7/10,N/A,4/10
Southern Middle School,6/10,5/10,N/A,4/10
Colonel Richardson High School,5/10,N/A,5/10,3/10
Federalsburg Elementary School,5/10,5/10,N/A,3/10
Preston Elementary School,7/10,7/10,N/A,4/10
Francis Scott Key High School,5/10,N/A,9/10,4/10
Mount Airy Elementary School,9/10,8/10,N/A,5/10
William Winchester Elementary School,8/10,7/10,N/A,4/10
Bohemia Manor High School,5/10,N/A,6/10,4/10
Cecilton Elementary School,6/10,4/10,N/A,4/10
Chesapeake City Elementary School,6/10,6/10,N/A,4/10
Elkton High School,4/10,N/A,3/10,4/10
Leeds Elementary School,5/10,4/10,N/A,4/10
North East Middle School,6/10,6/10,N/A,3/10
